Anchor_O_X,Anchor_O_Y,SPEED,Connector_A_X,Connector_A_Y,SPEED,Anchor_Q_X,Anchor_Q_Y,SPEED,Connector_B_X,Connector_B_Y,SPEED
0,0,0,112.492755,41.77774615,37.69893959,0,85,0,43.49712277,174.9678461,46.58171087
0,0,0,112.0490994,42.9534553,37.69893959,0,85,0,42.08461348,175.6371797,46.89211937
0,0,0,111.5931564,44.12445411,37.69893959,0,85,0,40.65214354,176.2886425,47.20949699
0,0,0,111.1249759,45.29061418,37.69893959,0,85,0,39.19964008,176.9217126,47.53408897
0,0,0,110.6446093,46.45180763,37.69893959,0,85,0,37.72703209,177.5358529,47.86615067
0,0,0,110.1521093,47.60790711,37.69893959,0,85,0,36.23425062,178.1305112,48.20594813
0,0,0,109.6475299,48.75878584,37.69893959,0,85,0,34.72122901,178.7051188,48.55375862
0,0,0,109.1309263,49.90431763,37.69893959,0,85,0,33.18790313,179.2590904,48.9098712
0,0,0,108.6023554,51.04437685,37.69893959,0,85,0,31.63421167,179.7918229,49.27458741
0,0,0,108.0618749,52.17883847,37.69893959,0,85,0,30.06009645,180.3026948,49.64822191
0,0,0,107.5095443,53.3075781,37.69893959,0,85,0,28.46550276,180.7910652,50.03110319
0,0,0,106.945424,54.43047195,37.69893959,0,85,0,26.85037971,181.2562732,50.42357436
0,0,0,106.369576,55.54739688,37.69893959,0,85,0,25.21468065,181.6976365,50.82599394
0,0,0,105.7820633,56.65823042,37.69893959,0,85,0,23.55836362,182.1144507,51.23873674
0,0,0,105.1829505,57.76285074,37.69893959,0,85,0,21.88139182,182.5059881,51.66219481
0,0,0,104.5723031,58.86113672,37.69893959,0,85,0,20.18373418,182.8714969,52.09677841
0,0,0,103.9501883,59.95296791,37.69893959,0,85,0,18.46536589,183.2101995,52.54291709
0,0,0,103.3166741,61.03822458,37.69893959,0,85,0,16.72626911,183.5212919,53.00106081
0,0,0,102.67183,62.11678772,37.69893959,0,85,0,14.96643362,183.8039417,53.4716812
0,0,0,102.0157269,63.18853906,37.69893959,0,85,0,13.18585761,184.0572874,53.95527288
0,0,0,101.3484366,64.25336106,37.69893959,0,85,0,11.38454854,184.2804366,54.45235483
0,0,0,100.6700322,65.31113696,37.69893959,0,85,0,9.562524008,184.4724643,54.96347195
0,0,0,99.9805883,66.36175075,37.69893959,0,85,0,7.719812832,184.632412,55.48919672
0,0,0,99.28018038,67.40508723,37.69893959,0,85,0,5.8564561,184.759285,56.03013093
0,0,0,98.56888526,68.44103198,37.69893959,0,85,0,3.972508399,184.8520516,56.58690764
0,0,0,97.84678095,69.4694714,37.69893959,0,85,0,2.068039133,184.9096404,57.16019321
0,0,0,97.11394664,70.49029271,37.69893959,0,85,0,0.143133973,184.9309389,57.75068961
0,0,0,96.3704627,71.50338397,37.69893959,0,85,0,-1.802103563,184.914791,58.35913679
0,0,0,95.61641064,72.50863408,37.69893959,0,85,0,-3.767550378,184.859995,58.98631539
0,0,0,94.85187317,73.50593279,37.69893959,0,85,0,-5.753061892,184.7653011,59.63304962
0,0,0,94.07693412,74.49517075,37.69893959,0,85,0,-7.758469973,184.6294092,60.30021038
0,0,0,93.29167848,75.47623948,37.69893959,0,85,0,-9.783580656,184.4509657,60.98871876
0,0,0,92.49619235,76.44903139,37.69893959,0,85,0,-11.82817165,184.2285613,61.69954975
0,0,0,91.69056297,77.4134398,37.69893959,0,85,0,-13.89198962,183.9607278,62.43373644
0,0,0,90.87487869,78.36935895,37.69893959,0,85,0,-15.97474716,183.6459349,63.19237453
0,0,0,90.04922896,79.31668402,37.69893959,0,85,0,-18.07611956,183.2825871,63.97662738
0,0,0,89.21370431,80.25531112,37.69893959,0,85,0,-20.19574116,182.86902,64.78773154
0,0,0,88.36839637,81.18513732,37.69893959,0,85,0,-22.33320141,182.4034966,65.62700286
0,0,0,87.51339785,82.10606066,37.69893959,0,85,0,-24.48804053,181.8842036,66.49584338
0,0,0,86.64880249,83.01798014,37.69893959,0,85,0,-26.65974476,181.3092469,67.39574883
0,0,0,85.77470512,83.92079577,37.69893959,0,85,0,-28.84774106,180.6766474,68.32831718
0,0,0,84.89120158,84.81440853,37.69893959,0,85,0,-31.05139142,179.9843362,69.29525808
0,0,0,83.99838876,85.69872044,37.69893959,0,85,0,-33.26998643,179.2301493,70.29840355
0,0,0,83.09636458,86.57363452,37.69893959,0,85,0,-35.50273833,178.4118226,71.33972001
0,0,0,82.18522794,87.43905482,37.69893959,0,85,0,-37.74877328,177.526986,72.42132186
0,0,0,81.26507877,88.29488645,37.69893959,0,85,0,-40.00712284,176.5731574,73.54548692
0,0,0,80.33601796,89.14103554,37.69893959,0,85,0,-42.27671454,175.5477357,74.71467408
0,0,0,79.39814741,89.97740932,37.69893959,0,85,0,-44.5563615,174.4479943,75.93154343
0,0,0,78.45156995,90.80391606,37.69893959,0,85,0,-46.84475087,173.2710731,77.19897946
0,0,0,77.4963894,91.62046513,37.69893959,0,85,0,-49.14043104,172.0139705,78.52011779
0,0,0,76.53271049,92.42696698,37.69893959,0,85,0,-51.44179744,170.6735344,79.89837631
0,0,0,75.56063891,93.22333317,37.69893959,0,85,0,-53.74707669,169.2464526,81.33749135
0,0,0,74.58028125,94.00947638,37.69893959,0,85,0,-56.05430898,167.729242,82.84156026
