Time (sec);Theta2;Theta3;Theta4
1.47459854;-7.022361874;-78.11444522;28.10789032
1.514452555;-6.304989611;-77.76949868;28.95809704
1.554306569;-5.587617348;-77.42248134;29.81241952
1.594160584;-4.870245085;-77.07331741;30.6709103
1.634014599;-4.152872823;-76.72192943;31.53362412
1.673868613;-3.43550056;-76.36823819;32.40061808
1.713722628;-2.718128297;-76.01216263;33.27195162
1.753576642;-2.000756034;-75.65361981;34.14768669
1.793430657;-1.283383772;-75.29252482;35.02788778
1.833284672;-0.566011509;-74.92879065;35.912622
1.873138686;0.151360754;-74.56232817;36.80195919
1.912992701;0.868733017;-74.19304602;37.69597201
1.952846715;1.58610528;-73.82085049;38.59473604
1.99270073;2.303477542;-73.44564545;39.49832985
2.032554745;3.020849805;-73.06733225;40.40683516
2.072408759;3.738222068;-72.6858096;41.32033691
2.112262774;4.455594331;-72.30097346;42.23892339
2.152116788;5.172966593;-71.91271693;43.16268639
2.191970803;5.890338856;-71.52093013;44.09172127
2.231824818;6.607711119;-71.12550006;45.02612717
2.271678832;7.325083382;-70.72631048;45.9660071
2.311532847;8.042455644;-70.32324176;46.91146809
2.351386861;8.759827907;-69.91617075;47.8626214
2.391240876;9.47720017;-69.50497059;48.81958262
2.431094891;10.19457243;-69.08951058;49.78247191
2.470948905;10.9119447;-68.66965601;50.75141412
2.51080292;11.62931696;-68.24526797;51.72653903
2.550656934;12.34668922;-67.81620316;52.70798156
2.590510949;13.06406148;-67.38231368;53.69588192
2.630364964;13.78143375;-66.94344689;54.69038594
2.670218978;14.49880601;-66.49944509;55.69164521
2.710072993;15.21617827;-66.05014537;56.6998174
2.749927007;15.93355053;-65.59537934;57.7150665
2.789781022;16.6509228;-65.13497287;58.7375631
2.829635036;17.36829506;-64.66874583;59.7674847
2.869489051;18.08566732;-64.1965118;60.80501603
2.909343066;18.80303959;-63.71807778;61.85034937
2.94919708;19.52041185;-63.23324386;62.90368489
2.989051095;20.23778411;-62.74180292;63.96523107
3.028905109;20.95515637;-62.24354022;65.03520505
3.068759124;21.67252864;-61.73823308;66.11383307
3.108613139;22.3899009;-61.22565046;67.20135093
3.148467153;23.10727316;-60.70555254;68.29800444
3.188321168;23.82464543;-60.17769028;69.40404993
3.228175182;24.54201769;-59.64180497;70.51975478
3.268029197;25.25938995;-59.0976277;71.64539802
3.307883212;25.97676221;-58.54487884;72.7812709
3.347737226;26.69413448;-57.98326749;73.92767755
3.387591241;27.41150674;-57.41249086;75.08493566
3.427445255;28.128879;-56.83223366;76.25337724
3.46729927;28.84625126;-56.24216741;77.43334937
3.507153285;29.56362353;-55.64194968;78.62521507
3.547007299;30.28099579;-55.03122338;79.82935419
3.586861314;30.99836805;-54.4096159;81.04616435
3.626715328;31.71574032;-53.77673824;82.27606202
3.666569343;32.43311258;-53.13218405;83.51948358
3.706423358;33.15048484;-52.47552864;84.77688653
3.746277372;33.8678571;-51.80632789;86.04875078
3.786131387;34.58522937;-51.12411709;87.33558004
3.825985401;35.30260163;-50.4284097;88.63790326
3.865839416;36.01997389;-49.71869598;89.9562763
3.905693431;36.73734616;-48.99444156;91.29128364
3.945547445;37.45471842;-48.25508588;92.64354027
3.98540146;38.17209068;-47.5000405;94.01369375
4.025255474;38.88946294;-46.72868727;95.40242643
4.065109489;39.60683521;-45.94037635;96.81045787
4.104963504;40.32420747;-45.13442404;98.2385475
4.144817518;41.04157973;-44.31011049;99.68749754
4.184671533;41.75895199;-43.46667706;101.1581561
4.224525547;42.47632426;-42.60332363;102.6514209
4.264379562;43.19369652;-41.71920546;104.1682426
4.304233577;43.91106878;-40.81342985;105.7096298
4.344087591;44.62844105;-39.88505248;107.2766531
4.383941606;45.34581331;-38.93307326;108.8704508
4.42379562;46.06318557;-37.95643183;110.4922343
4.463649635;46.78055783;-36.95400252;112.143295
4.50350365;47.4979301;-35.92458869;113.8250117
4.543357664;48.21530236;-34.86691646;115.5388587
4.583211679;48.93267462;-33.77962755;117.2864151
4.623065693;49.65004689;-32.66127124;119.0693759
4.662919708;50.36741915;-31.51029523;120.8895643
4.702773723;51.08479141;-30.32503513;122.7489454
4.742627737;51.80216367;-29.10370238;124.6496434
4.782481752;52.51953594;-27.84437025;126.5939601
4.822335766;53.2369082;-26.54495746;128.584398
4.862189781;53.95428046;-25.20320891;130.623687
4.902043796;54.67165272;-23.81667276;132.7148163
4.94189781;55.38902499;-22.38267295;134.8610732
4.981751825;56.10639725;-20.89827588;137.0660902
5.021605839;56.82376951;-19.36024955;139.3339034
5.061459854;57.54114178;-17.76501284;141.6690247
5.101313869;58.25851404;-16.10857166;144.0765337
5.141167883;58.9758863;-14.38643736;146.5621955
5.181021898;59.69325856;-12.59352075;149.1326142
5.220875912;60.41063083;-10.7239918;151.7954366
5.260729927;61.12800309;-8.771090057;154.5596289
5.300583942;61.84537535;-6.726862217;157.4358603
5.340437956;62.56274762;-4.58178903;160.4370491
5.380291971;63.28011988;-2.324237604;163.5791681
5.420145985;63.99749214;0.060373219;166.8824717
5.46;64.7148644;2.590903856;170.3734585
